age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
39,state_gov,bachelors,unmarried,adm-clerical,other_relative,white,0,2174,0,40,united-states,0
50,self_emp_not_inc,bachelors,married,exec-managerial,husband,white,0,0,0,13,united-states,0
38,private,hs_grad,divorced,handlers-cleaners,other_relative,white,0,0,0,40,united-states,0
53,private,hs_grad,married,handlers-cleaners,husband,black,0,0,0,40,united-states,0
28,private,bachelors,married,prof-specialty,wife,black,1,0,0,40,cuba,0
37,private,master,married,exec-managerial,wife,white,1,0,0,40,united-states,0
49,private,below_hs_grad,separated,other-service,other_relative,black,1,0,0,16,jamaica,0
52,self_emp_not_inc,hs_grad,married,exec-managerial,husband,white,0,0,0,45,united-states,1
31,private,master,unmarried,prof-specialty,other_relative,white,1,14084,0,50,united-states,1
42,private,bachelors,married,exec-managerial,husband,white,0,5178,0,40,united-states,1
37,private,bachelors,married,exec-managerial,husband,black,0,0,0,80,united-states,1
30,state_gov,bachelors,married,prof-specialty,husband,asian_pac_islander,0,0,0,40,india,1
23,private,bachelors,unmarried,adm-clerical,child,white,1,0,0,30,united-states,0
32,private,associate,unmarried,sales,other_relative,black,0,0,0,50,united-states,0
40,private,associate,married,craft-repair,husband,asian_pac_islander,0,0,0,40,?,1
34,private,below_hs_grad,married,transport-moving,husband,amer_indian_eskimo,0,0,0,45,mexico,0
25,self_emp_not_inc,hs_grad,unmarried,farming-fishing,child,white,0,0,0,35,united-states,0
32,private,hs_grad,unmarried,machine-op-inspct,other_relative,white,0,0,0,40,united-states,0
38,private,hs_grad,married,sales,husband,white,0,0,0,50,united-states,0
43,self_emp_not_inc,master,divorced,exec-managerial,other_relative,white,1,0,0,45,united-states,1
40,private,doctorate,married,prof-specialty,husband,white,0,0,0,60,united-states,1
54,private,hs_grad,separated,other-service,other_relative,black,1,0,0,20,united-states,0
35,federal_gov,below_hs_grad,married,farming-fishing,husband,black,0,0,0,40,united-states,0
43,private,hs_grad,married,transport-moving,husband,white,0,0,2042,40,united-states,0
59,private,hs_grad,divorced,tech-support,other_relative,white,1,0,0,40,united-states,0
56,local_gov,bachelors,married,tech-support,husband,white,0,0,0,40,united-states,1
19,private,hs_grad,unmarried,craft-repair,child,white,0,0,0,40,united-states,0
54,unknown,bachelors,married,unknown,husband,asian_pac_islander,0,0,0,60,south,1
39,private,hs_grad,divorced,exec-managerial,other_relative,white,0,0,0,80,united-states,0
49,private,hs_grad,married,craft-repair,husband,white,0,0,0,40,united-states,0
23,local_gov,associate,unmarried,protective-serv,other_relative,white,0,0,0,52,united-states,0
20,private,bachelors,unmarried,sales,child,black,0,0,0,44,united-states,0
45,private,bachelors,divorced,exec-managerial,child,white,0,0,1408,40,united-states,0
30,federal_gov,bachelors,married,adm-clerical,child,white,0,0,0,40,united-states,0
22,state_gov,bachelors,married,other-service,husband,black,0,0,0,15,united-states,0
48,private,hs_grad,unmarried,machine-op-inspct,other_relative,white,0,0,0,40,puerto-rico,0
21,private,bachelors,unmarried,machine-op-inspct,child,white,0,0,0,40,united-states,0
19,private,hs_grad,married,adm-clerical,wife,white,1,0,0,25,united-states,0
31,private,bachelors,married,sales,husband,white,0,0,0,38,?,1
48,self_emp_not_inc,associate,married,prof-specialty,husband,white,0,0,0,40,united-states,0
31,private,below_hs_grad,married,machine-op-inspct,husband,white,0,0,0,43,united-states,0
53,self_emp_not_inc,bachelors,married,prof-specialty,husband,white,0,0,0,40,united-states,0
24,private,bachelors,married,tech-support,husband,white,0,0,0,50,united-states,0
49,private,hs_grad,separated,adm-clerical,other_relative,white,1,0,0,40,united-states,0
25,private,hs_grad,unmarried,handlers-cleaners,other_relative,white,0,0,0,35,united-states,0
57,federal_gov,bachelors,married,prof-specialty,husband,black,0,0,0,40,united-states,1
53,private,hs_grad,married,machine-op-inspct,husband,white,0,0,0,38,united-states,0
44,private,master,divorced,exec-managerial,other_relative,white,1,0,0,40,united-states,0
41,state_gov,associate,married,craft-repair,husband,white,0,0,0,40,united-states,0
29,private,associate,unmarried,prof-specialty,other_relative,white,0,0,0,43,united-states,0
25,private,bachelors,married,exec-managerial,wife,other,1,0,0,40,united-states,0
18,private,hs_grad,unmarried,other-service,child,white,1,0,0,30,?,0
47,private,bachelors,married,prof-specialty,wife,white,1,0,1902,60,honduras,1
50,federal_gov,bachelors,divorced,exec-managerial,other_relative,white,0,0,0,55,united-states,1
47,self_emp_inc,hs_grad,divorced,exec-managerial,other_relative,white,0,0,0,60,united-states,0
43,private,bachelors,married,tech-support,husband,white,0,0,0,40,united-states,1
46,private,below_hs_grad,married,machine-op-inspct,husband,white,0,0,0,40,mexico,0
35,private,associate,married,other-service,husband,white,0,0,0,40,puerto-rico,0
41,private,hs_grad,married,adm-clerical,husband,white,0,0,0,48,united-states,0
30,private,hs_grad,married,machine-op-inspct,husband,white,0,5013,0,40,united-states,0
30,private,bachelors,married,sales,husband,white,0,2407,0,40,united-states,0
32,unknown,below_hs_grad,separated,unknown,other_relative,white,0,0,0,40,?,0
48,private,hs_grad,married,transport-moving,husband,white,0,0,0,40,united-states,0
42,private,doctorate,married,prof-specialty,husband,white,0,0,0,45,united-states,1
29,private,bachelors,divorced,tech-support,other_relative,white,0,0,0,58,united-states,0
36,private,hs_grad,married,craft-repair,husband,white,0,0,0,40,united-states,0
28,private,bachelors,divorced,adm-clerical,other_relative,white,1,0,0,40,united-states,0
53,private,hs_grad,married,adm-clerical,wife,white,1,0,0,40,united-states,1
49,self_emp_inc,bachelors,married,exec-managerial,husband,white,0,0,0,50,united-states,1
25,unknown,bachelors,unmarried,unknown,child,white,0,0,0,40,united-states,0
19,private,bachelors,unmarried,prof-specialty,child,white,0,0,0,32,united-states,0
31,private,bachelors,separated,sales,child,black,1,0,0,40,united-states,0
29,self_emp_not_inc,bachelors,married,sales,husband,white,0,0,0,70,united-states,1
23,private,bachelors,unmarried,machine-op-inspct,other_relative,white,0,0,0,40,united-states,0
79,private,bachelors,married,prof-specialty,other_relative,white,0,0,0,20,united-states,0
27,private,hs_grad,unmarried,other-service,child,white,0,0,0,40,mexico,0
40,private,associate,married,adm-clerical,husband,white,0,0,0,40,united-states,0
67,unknown,below_hs_grad,married,unknown,husband,white,0,0,0,2,united-states,0
18,private,hs_grad,unmarried,other-service,child,white,1,0,0,22,united-states,0
31,local_gov,below_hs_grad,married,farming-fishing,husband,white,0,0,0,40,united-states,0
18,private,hs_grad,unmarried,sales,other_relative,white,0,0,0,30,united-states,0
52,private,bachelors,married,other-service,husband,white,0,0,0,40,cuba,0
46,private,hs_grad,married,other-service,wife,white,1,0,0,40,united-states,0
59,private,hs_grad,married,sales,husband,white,0,0,0,48,united-states,0
44,private,hs_grad,divorced,craft-repair,other_relative,white,1,14344,0,40,united-states,1
53,private,hs_grad,divorced,sales,child,white,1,0,0,35,united-states,0
