age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
33,state_gov,bachelors,unmarried,prof-specialty,other_relative,white,female,0,0,50,united-states,>50k
36,private,associate,married,exec-managerial,husband,white,male,0,1887,50,united-states,>50k
58,self_emp_not_inc,below_hs_grad,separated,craft-repair,other_relative,white,male,0,0,40,united-states,<=50k
21,private,associate,married,farming-fishing,husband,white,male,0,0,46,united-states,<=50k
27,private,bachelors,divorced,other-service,other_relative,white,male,0,0,40,united-states,<=50k
44,private,bachelors,married,craft-repair,husband,white,male,0,0,12,united-states,<=50k
33,private,below_hs_grad,unmarried,machine-op-inspct,other_relative,white,female,0,0,45,united-states,<=50k
62,self_emp_not_inc,bachelors,married,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
20,private,hs_grad,unmarried,prof-specialty,other_relative,white,female,0,0,40,united-states,<=50k
33,private,hs_grad,divorced,other-service,other_relative,white,female,0,0,30,united-states,<=50k
24,private,bachelors,unmarried,sales,child,white,female,0,0,15,united-states,<=50k
36,private,bachelors,married,prof-specialty,husband,white,male,5178,0,60,?,>50k
43,private,bachelors,married,prof-specialty,wife,white,female,0,1887,50,united-states,>50k
41,private,hs_grad,divorced,sales,other_relative,black,female,0,0,38,united-states,<=50k
40,private,associate,divorced,exec-managerial,other_relative,white,female,0,0,40,united-states,<=50k
27,private,hs_grad,married,handlers-cleaners,husband,white,male,0,0,40,mexico,<=50k
30,private,below_hs_grad,unmarried,craft-repair,other_relative,white,male,0,0,50,united-states,<=50k
38,private,bachelors,separated,exec-managerial,other_relative,white,male,27828,0,45,united-states,>50k
25,private,hs_grad,unmarried,handlers-cleaners,other_relative,white,male,0,0,65,united-states,<=50k
20,private,hs_grad,unmarried,other-service,other_relative,white,male,0,0,8,united-states,<=50k
26,private,associate,unmarried,sales,child,white,female,0,0,35,united-states,<=50k
25,private,bachelors,unmarried,prof-specialty,other_relative,white,female,0,1876,40,united-states,<=50k
37,private,hs_grad,unmarried,machine-op-inspct,other_relative,black,male,0,0,40,united-states,<=50k
36,private,hs_grad,unmarried,sales,child,white,male,0,0,45,?,<=50k
19,private,hs_grad,unmarried,sales,child,white,male,0,0,30,united-states,<=50k
32,private,bachelors,married,machine-op-inspct,husband,white,male,0,0,50,united-states,<=50k
21,private,associate,unmarried,craft-repair,child,white,male,0,0,40,united-states,<=50k
55,private,bachelors,married,other-service,other_relative,asian_pac_islander,male,0,0,35,philippines,<=50k
27,private,hs_grad,unmarried,other-service,child,white,male,0,0,40,mexico,<=50k
28,private,bachelors,married,prof-specialty,wife,black,female,0,0,40,cuba,<=50k
34,private,hs_grad,separated,transport-moving,other_relative,asian_pac_islander,male,0,0,40,united-states,<=50k
39,private,associate,divorced,other-service,other_relative,amer_indian_eskimo,female,0,0,40,columbia,<=50k
41,private,bachelors,married,craft-repair,husband,white,male,3103,0,40,united-states,>50k
42,private,bachelors,unmarried,prof-specialty,other_relative,white,male,0,0,32,united-states,<=50k
58,private,bachelors,married,prof-specialty,husband,white,male,0,0,42,united-states,<=50k
49,state_gov,hs_grad,widowed,protective-serv,other_relative,black,male,0,0,40,united-states,<=50k
54,private,below_hs_grad,married,transport-moving,husband,white,male,0,0,40,united-states,<=50k
19,unknown,hs_grad,unmarried,unknown,child,white,male,0,0,60,united-states,<=50k
33,self_emp_not_inc,bachelors,married,sales,husband,white,male,0,0,45,united-states,>50k
35,private,hs_grad,married,transport-moving,husband,white,male,15024,0,80,united-states,>50k
29,private,hs_grad,unmarried,craft-repair,child,black,male,0,0,40,haiti,<=50k
29,federal_gov,associate,married,craft-repair,husband,white,male,0,0,40,united-states,>50k
61,private,bachelors,married,sales,husband,white,male,0,0,40,united-states,>50k
47,private,bachelors,married,adm-clerical,husband,white,male,0,0,44,united-states,>50k
23,private,bachelors,unmarried,exec-managerial,other_relative,white,female,0,0,38,united-states,<=50k
56,private,below_hs_grad,married,craft-repair,husband,white,male,0,0,40,united-states,<=50k
40,state_gov,bachelors,married,adm-clerical,wife,white,female,0,0,40,united-states,>50k
71,private,bachelors,widowed,sales,other_relative,white,male,0,0,35,united-states,>50k
35,private,hs_grad,unmarried,farming-fishing,other_relative,white,male,0,0,20,united-states,<=50k
56,private,hs_grad,divorced,adm-clerical,other_relative,amer_indian_eskimo,female,0,0,35,united-states,<=50k
53,private,hs_grad,married,transport-moving,husband,white,male,0,0,48,united-states,>50k
20,unknown,below_hs_grad,unmarried,unknown,child,white,male,0,0,40,united-states,<=50k
24,private,bachelors,unmarried,sales,other_relative,white,male,0,0,50,united-states,<=50k
49,private,bachelors,divorced,other-service,other_relative,white,female,0,0,40,united-states,<=50k
29,private,hs_grad,married,other-service,husband,white,male,0,0,40,united-states,<=50k
17,private,below_hs_grad,unmarried,other-service,other_relative,white,male,0,0,6,united-states,<=50k
46,private,bachelors,married,other-service,wife,white,female,5013,0,40,united-states,<=50k
54,private,master,married,exec-managerial,husband,white,male,0,0,45,united-states,>50k
33,unknown,bachelors,unmarried,unknown,child,white,male,0,0,40,united-states,<=50k
52,private,bachelors,unmarried,exec-managerial,other_relative,white,female,0,0,50,united-states,<=50k
51,self_emp_not_inc,bachelors,married,craft-repair,husband,white,male,0,0,20,united-states,<=50k
20,private,bachelors,unmarried,other-service,child,white,male,2176,0,25,united-states,<=50k
19,private,bachelors,unmarried,other-service,child,white,male,0,0,12,united-states,<=50k
29,private,hs_grad,married,exec-managerial,husband,white,male,0,0,40,united-states,>50k
37,private,hs_grad,married,craft-repair,husband,white,male,0,0,35,mexico,>50k
50,private,below_hs_grad,divorced,craft-repair,other_relative,white,male,0,0,40,united-states,<=50k
29,private,bachelors,married,handlers-cleaners,husband,white,male,0,0,40,?,>50k
44,private,bachelors,married,prof-specialty,husband,white,male,0,1902,50,united-states,>50k
23,private,associate,unmarried,other-service,child,black,male,0,0,44,united-states,<=50k
45,self_emp_not_inc,bachelors,married,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
35,private,bachelors,married,craft-repair,husband,white,male,0,0,40,united-states,<=50k
51,private,below_hs_grad,married,sales,husband,white,male,0,0,40,united-states,<=50k
48,self_emp_not_inc,bachelors,married,prof-specialty,husband,white,male,0,0,35,united-states,>50k
38,private,associate,married,craft-repair,husband,white,male,0,0,50,united-states,<=50k
22,private,hs_grad,unmarried,adm-clerical,child,white,female,0,0,40,united-states,<=50k
45,private,associate,divorced,exec-managerial,other_relative,white,male,0,0,40,united-states,<=50k
19,private,hs_grad,unmarried,other-service,child,black,male,0,0,40,united-states,<=50k
